string	surah_frequency
سنبل	{'12': 10.85782389231632, '2': 3.1437966872361156}
امل	{'15': 27.87544996400288, '18': 11.557910447761195}
صلصل	{'55': 47.5079754601227, '15': 27.87544996400288}
حما	{'15': 27.87544996400288, '18': 11.557910447761195}
صدف	{'18': 11.557910447761195, '6': 6.218920655316415}
قدو	{'43': 21.691316526610642, '6': 6.218920655316415}
رمن	{'55': 47.5079754601227, '6': 6.218920655316415}
صغو	{'66': 81.0020920502092, '6': 6.218920655316415}
ظفر	{'48': 33.121471343028226, '6': 6.218920655316415}
وصب	{'37': 20.58426368952685, '16': 10.30582911897791}
روغ	{'51': 51.41965471447543, '37': 20.58426368952685}
خردل	{'31': 37.30154142581888, '21': 15.88797702092737}
سبغ	{'31': 37.30154142581888, '34': 22.239517518667434}
سيل	{'13': 22.76249265138154, '34': 22.239517518667434}
نسا	{'34': 22.239517518667434, '9': 7.49061714064616}
هيج	{'57': 32.59175084175084, '39': 16.696420871065115}
حفف	{'39': 16.696420871065115, '18': 11.557910447761195}
حنجر	{'40': 15.810126582278482, '33': 14.926368542791055}
قوت	{'41': 23.494538834951456, '4': 5.270042194092827}
دخن	{'44': 54.533802816901414, '41': 23.494538834951456}
قيض	{'41': 23.494538834951456, '43': 21.691316526610642}
سام	{'41': 23.494538834951456, '2': 3.1437966872361156}
كمم	{'55': 47.5079754601227, '41': 23.494538834951456}
روض	{'30': 23.66687041564792, '42': 23.01961950059453}
وبق	{'42': 23.01961950059453, '18': 11.557910447761195}
لجا	{'42': 23.01961950059453, '9': 7.49061714064616}
دهر	{'76': 74.45961538461539, '45': 38.75775775775776}
ذرو	{'51': 51.41965471447543, '18': 11.557910447761195}
سهو	{'107': 744.5961538461539, '51': 51.41965471447543}
جرز	{'32': 51.97181208053691, '18': 11.557910447761195}
رقم	{'83': 110.62571428571428, '18': 11.557910447761195}
عثر	{'18': 11.557910447761195, '5': 6.916577349053233}
